Question ID,Answer ID,Model,Ground Truth
8138,1,Falcon 7.5B,3
8153,2,Falcon 7.5B,5
8186,3,Falcon 7.5B,4
8210,2,Falcon 7.5B,3
8211,3,Falcon 7.5B,1
8213,3,Falcon 7.5B,4
8231,4,Falcon 7.5B,2
8261,2,Falcon 7.5B,1
8263,4,Falcon 7.5B,1
8272,2,Falcon 7.5B,1
8289,5,Falcon 7.5B,2
8293,2,Falcon 7.5B,3
8301,4,Falcon 7.5B,3
8307,5,Falcon 7.5B,3
8318,3,Falcon 7.5B,2
8350,5,Falcon 7.5B,1
8354,4,Falcon 7.5B,3
8361,2,Falcon 7.5B,1
8364,5,Falcon 7.5B,4
8396,3,Falcon 7.5B,4
8405,1,Falcon 7.5B,4
8411,3,Falcon 7.5B,1
8456,2,Falcon 7.5B,1
8462,1,Falcon 7.5B,4
8499,4,Falcon 7.5B,2
8525,2,Falcon 7.5B,3
8541,1,Falcon 7.5B,3
8546,1,Falcon 7.5B,2
8598,3,Falcon 7.5B,4
8611,4,Falcon 7.5B,3
8617,1,Falcon 7.5B,5
8627,3,Falcon 7.5B,1
8641,3,Falcon 7.5B,5
8650,2,Falcon 7.5B,3
8655,1,Falcon 7.5B,5
8662,1,Falcon 7.5B,2
8663,2,Falcon 7.5B,1
8665,4,Falcon 7.5B,5
8672,3,Falcon 7.5B,1
8677,2,Falcon 7.5B,4
8693,5,Falcon 7.5B,3
8696,4,Falcon 7.5B,1
8703,3,Falcon 7.5B,1
8716,2,Falcon 7.5B,5
8768,2,Falcon 7.5B,3
8770,1,Falcon 7.5B,2
8795,4,Falcon 7.5B,1
8801,1,Falcon 7.5B,5
8808,1,Falcon 7.5B,5
8833,4,Falcon 7.5B,3
8862,3,Falcon 7.5B,1
8868,2,Falcon 7.5B,1
8877,4,Falcon 7.5B,2
8882,1,Falcon 7.5B,2
8885,1,Falcon 7.5B,4
8886,1,Falcon 7.5B,5
8901,5,Falcon 7.5B,1
8912,1,Falcon 7.5B,2
8948,4,Falcon 7.5B,3
8961,4,Falcon 7.5B,2
8962,4,Falcon 7.5B,5
8971,4,Falcon 7.5B,2
8972,5,Falcon 7.5B,3
8981,2,Falcon 7.5B,5
9010,2,Falcon 7.5B,4
9013,2,Falcon 7.5B,5
9025,3,Falcon 7.5B,5
9030,4,Falcon 7.5B,3
9043,4,Falcon 7.5B,1
9046,4,Falcon 7.5B,5
9048,2,Falcon 7.5B,3
9077,3,Falcon 7.5B,2
9101,1,Falcon 7.5B,3
9112,4,Falcon 7.5B,5
9124,1,Falcon 7.5B,3
9168,2,Falcon 7.5B,4
9174,3,Falcon 7.5B,5
9187,2,Falcon 7.5B,1
9191,4,Falcon 7.5B,5
9204,2,Falcon 7.5B,3
9214,5,Falcon 7.5B,3
9225,1,Falcon 7.5B,2
9231,4,Falcon 7.5B,5
9244,1,Falcon 7.5B,3
9246,2,Falcon 7.5B,5
9256,4,Falcon 7.5B,5
9264,1,Falcon 7.5B,3
9268,3,Falcon 7.5B,1
9269,5,Falcon 7.5B,2
9300,2,Falcon 7.5B,4
9308,1,Falcon 7.5B,2
9314,3,Falcon 7.5B,2
9317,1,Falcon 7.5B,2
9327,1,Falcon 7.5B,3
9339,2,Falcon 7.5B,5
9344,3,Falcon 7.5B,4
9355,1,Falcon 7.5B,3
9359,1,Falcon 7.5B,2
9371,2,Falcon 7.5B,5
9388,2,Falcon 7.5B,4
9390,5,Falcon 7.5B,2
9394,4,Falcon 7.5B,1
9396,5,Falcon 7.5B,3
9400,5,Falcon 7.5B,4
9468,5,Falcon 7.5B,2
9511,3,Falcon 7.5B,5
9516,1,Falcon 7.5B,4
9526,2,Falcon 7.5B,5
9533,1,Falcon 7.5B,2
9545,1,Falcon 7.5B,2
9547,5,Falcon 7.5B,3
9557,2,Falcon 7.5B,1
9570,1,Falcon 7.5B,2
9586,3,Falcon 7.5B,4
9587,3,Falcon 7.5B,1
9595,2,Falcon 7.5B,5
9602,4,Falcon 7.5B,1
9607,2,Falcon 7.5B,4
9637,1,Falcon 7.5B,3
9641,2,Falcon 7.5B,3
9650,4,Falcon 7.5B,2
9659,2,Falcon 7.5B,1
9674,5,Falcon 7.5B,3
9678,1,Falcon 7.5B,2
9707,1,Falcon 7.5B,2
9710,1,Falcon 7.5B,2
9745,2,Falcon 7.5B,3
9765,1,Falcon 7.5B,4
9767,4,Falcon 7.5B,5
9776,3,Falcon 7.5B,1
9780,5,Falcon 7.5B,3
9781,2,Falcon 7.5B,3
9791,3,Falcon 7.5B,2
9813,3,Falcon 7.5B,1
9836,3,Falcon 7.5B,5
9865,3,Falcon 7.5B,2
9886,2,Falcon 7.5B,5
9889,1,Falcon 7.5B,3
9891,3,Falcon 7.5B,4
9894,1,Falcon 7.5B,4
9901,3,Falcon 7.5B,2
9949,1,Falcon 7.5B,2
9984,5,Falcon 7.5B,2
9986,4,Falcon 7.5B,1
